id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
1,Stand-Up India (Women Component),women_entrepreneurs,loan,Non-collar loan for women entrepreneurs up to Rs.10 lakh,1000000.0,loan,18,65,,2000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,startup,False,False,"[""Aadhaar Card"", ""Female ID"", ""Business Plan"", ""Bank Account"", ""Project Report"", ""Income Proof""]","[""Business Management"", ""Financial Literacy"", ""Marketing"", ""Communication""]","[""Are you female?"", ""What business type?"", ""What loan amount needed?"", ""Do you have business plan?""]","2026-12-31","once","https://standupindia.gov.in/women","Ministry of MSME, GOI","central_government",99,verified,2026-06-01,320000,"(female*1.0) + (business_plan*0.5) + (loan_needed*0.3)","Female entrepreneur with business plan needing loan<=10L",0.96,96.0,"30_days_before_deadline","2026-01-01","2026-06-01"
2,Mahila Coir Yojana,women_entrepreneurs,subsidy,Subsidy for women in coir industry,250000.0,subsidy,18,60,,3000000.0,0.0,Telangana,,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Coir Industry Proof"", ""Bank Account"", ""Business Plan"", ""Address Proof""]","[""Coir Industry Knowledge"", ""Business Planning"", ""Handicraft Skills"", ""Marketing""]","[""Are you female?"", ""Is business coir type?"", ""What is investment?""]","2026-11-30","once","https://coir.gov.in/mahila","Coir Board, Ministry of Textiles","central_government",92,verified,2026-06-01,45000,"(female*0.7) + (coir_business*0.3)","Female in coir industry with investment<=15L",0.88,88.0,"30_days_before_deadline","2026-01-01","2026-06-01"
3,Udyogini Scheme,women_entrepreneurs,loan_subsidy,Interest subsidy on loans for women entrepreneurs,50000.0,subsidy,18,55,,1500000.0,0.0,Telangana,Hyderabad,any,female,any,,,,startup,False,False,"[""Aadhaar Card"", ""Female ID"", ""Bank Loan Approval"", ""Bank Account"", ""Business Plan"", ""Income Certificate""]","[""Business Management"", ""Financial Planning"", ""Banking Knowledge"", ""Communication""]","[""Are you female?"", ""Do you have bank loan?"", ""What loan amount?"", ""What business type?""]","2026-12-31","annual","https://udyogini.gov.in","Ministry of Finance, GOI","central_government",95,verified,2026-06-01,185000,"(female*0.8) + (loan_approval*0.2)","Female entrepreneur with bank loan approval",0.92,92.0,"30_days_before_deadline","2026-01-01","2026-06-01"
4,TREAD (Trade Related Entrepreneurship),women_entrepreneurs,grant,Grant for women entrepreneurship in rural areas,300000.0,grant,18,50,,2000000.0,0.0,Telangana,Rural,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Rural Domicile"", ""Bank Account"", ""Business Plan"", ""Address Proof""]","[""Business Planning"", ""Rural Development"", ""Marketing"", ""Leadership""]","[""Are you female?"", ""Are you from rural area?"", ""What business idea?""]","2026-10-31","once","https://tread.gov.in","Ministry of Rural Development","central_government",94,verified,2026-06-01,95000,"(female*0.7) + (rural_status*0.3)","Female rural entrepreneur with business plan",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
5,Women Startup Program,women_entrepreneurs,seed_funding,Seed funding for women-led startups,2500000.0,seed_funding,21,45,,5000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,ideation,True,False,"[""Aadhaar Card"", ""Female ID"", ""Startup Registration"", ""Bank Account"", ""Pitch Deck"", ""Team Profile"", ""Business Plan""]","[""Innovation"", ""Business Planning"", ""Presentation"", ""Technology Awareness"", ""Leadership""]","[""Are you female?"", ""Is startup registered?"", ""What is innovative idea?"", ""What is team size?""]","2026-12-31","once","https://startupindia.gov.in/women","Startup India, GOI","central_government",97,verified,2026-06-01,145000,"(female*0.6) + (innovation*0.3) + (team*0.1)","Female with innovative startup idea and registered startup",0.93,93.0,"30_days_before_deadline","2026-01-01","2026-06-01"
6,NIESWUR Women Entrepreneur,women_entrepreneurs,training,Free entrepreneurship training for women,100000.0,training,18,50,,3000000.0,0.0,Telangana,,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Education Proof"", ""Bank Account"", ""Address Proof""]","[""Business Planning"", ""Leadership"", ""Learning"", ""Communication""]","[""Are you female?"", ""What is education level?"", ""Do you have business interest?""]","2026-12-31","annual","https://nieswur.gov.in/women","NIESWUR, Ministry of MSME","central_government",89,verified,2026-06-01,165000,"(female*0.7) + (education*0.3)","Female with basic education and business interest",0.85,85.0,"30_days_before_deadline","2026-01-01","2026-06-01"
7,SGS Yojana Women (SHG),women_entrepreneurs,grant,Grant for women Self-Help Groups,400000.0,grant,18,60,,5000000.0,0.0,Telangana,Rural,any,female,any,,,,startup,False,False,"[""Aadhaar Card"", ""Female ID"", ""SHG Registration"", ""Bank Account"", ""SHG Plan"", ""Rural Domicile""]","[""Group Management"", ""Business Planning"", ""Leadership"", ""Collaboration""]","[""Are you female?"", ""Are you in SHG?"", ""Is SHG registered?"", ""What is SHG plan?""]","2026-11-30","annual","https://shg.gov.in/women","Ministry of Rural Development","central_government",93,verified,2026-06-01,125000,"(female*0.6) + (shg_registration*0.3) + (rural_status*0.1)","Female in registered SHG in rural area",0.89,89.0,"30_days_before_deadline","2026-01-01","2026-06-01"
8,Telangana Women Industrialist,women_entrepreneurs,grant,State grant for women industrialists in Telangana,750000.0,grant,18,65,,10000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,growth,True,False,"[""Aadhaar Card"", ""Female ID"", ""Company Registration"", ""Bank Account"", ""Industrial Plan"", ""Financial Statements"", ""GST Certificate""]","[""Industrial Knowledge"", ""Business Management"", ""Financial Planning"", ""Compliance""]","[""Are you female?"", ""Is company registered?"", ""What industry type?"", ""What is investment?""]","2026-12-31","once","https://telangana.gov.in/women-industrialist","Government of Telangana","state_government",96,verified,2026-06-01,75000,"(female*0.6) + (investment*0.3) + (registration*0.1)","Female with registered company and investment>=50L",0.91,91.0,"30_days_before_deadline","2026-01-01","2026-06-01"
9,Women Business Grant MSME,women_entrepreneurs,grant,MSME grant specifically for women businesses,500000.0,grant,18,65,,8000000.0,0.0,Telangana,Hyderabad,any,female,any,,,,growth,True,False,"[""Aadhaar Card"", ""Female ID"", ""MSME Registration"", ""Bank Account"", ""Business Plan"", ""Financial Statements""]","[""Business Management"", ""Financial Planning"", ""MSME Knowledge"", ""Compliance""]","[""Are you female?"", ""Is business MSME registered?"", ""What business type?"", ""What is investment?""]","2026-12-31","once","https://msme.gov.in/women-grant","Ministry of MSME, GOI","central_government",94,verified,2026-06-01,95000,"(female*0.6) + (msme_registration*0.3) + (investment*0.1)","Female with MSME registered business and investment>=35L",0.89,89.0,"30_days_before_deadline","2026-01-01","2026-06-01"
10,Handicrafts Women Entrepreneurs,women_entrepreneurs,subsidy,Subsidy for women in handicrafts industry,350000.0,subsidy,18,65,,4000000.0,0.0,Telangana,Rural,any,female,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Female ID"", ""Handicrafts Proof"", ""Bank Account"", ""Business Plan"", ""Rural Domicile""]","[""Handicraft Skills"", ""Business Planning"", ""Marketing"", ""Artisan Knowledge""]","[""Are you female?"", ""Is business handicrafts?"", ""Are you from rural area?"", ""What is investment?""]","2026-11-30","once","https://handicrafts.gov.in/women","Ministry of Textiles","central_government",91,verified,2026-06-01,85000,"(female*0.6) + (handicrafts_business*0.3) + (rural_status*0.1)","Female handicrafts entrepreneur in rural area",0.86,86.0,"30_days_before_deadline","2026-01-01","2026-06-01"
