id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,dummy1,dummy2,dummy3,dummy4,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
1,NATS (National Apprenticeship Training Scheme),job_seekers,apprenticeship,Apprenticeship training for engineering diploma/degree graduates with monthly stipend from government,12000.0,monthly_stipend,17,35,5_years_sc_st,2000000.0,0.0,Telangana,Hyderabad,any,any,diploma_or_degree,6.5,,,,,"[""Aadhaar Card"", ""Diploma/Degree Certificate"", ""Marksheets"", ""Bank Account"", ""Photo"", ""School Leaving Certificate""]","[""Technical Skills"", ""Communication"", ""Teamwork"", ""Problem Solving"", ""Adaptability""]","[""Are you engineering diploma or degree holder?"", ""What is your specialization?"", ""What is your CGPA?"", ""Are you currently employed?"", ""Which location prefer?""]","2026-12-31","annual","https://nats.aicte.gov.in","AICTE, Ministry of Education","central_government",99,verified,2026-06-01,425000,"(cgpa*0.5) + (specialization_demand*0.3) + (location_match*0.2)","Engineering diploma/degree holder with CGPA>=6.5 not currently employed",0.96,96.0,"30_days_before_deadline","2026-01-01","2026-06-01"
2,NAPS (National Apprenticeship Promotion Scheme),job_seekers,apprenticeship,National apprenticeship scheme with stipend support for 10th/12th/ITI/Diploma/Graduate candidates,10000.0,monthly_stipend,16,35,5_years_sc_st,1500000.0,0.0,Telangana,,any,any,10th_or_12th_or_iti_or_diploma,6.0,,,,,"[""Aadhaar Card"", ""Qualification Certificate"", ""Bank Account"", ""Photo"", ""Mobile Number"", ""Address Proof""]","[""Basic Skills"", ""Communication"", ""Learning Ability"", ""Work Ethics"", ""Punctuality""]","[""What is your qualification?"", ""Do you have ITI/Diploma?"", ""What is your age?"", ""Are you looking for first job?""]","2026-12-31","annual","https://apprenticeshipindia.gov.in","Ministry of Labour & Employment, GOI","central_government",98,verified,2026-06-01,685000,"(qualification_level*0.5) + (age*0.3) + (job_seeking*0.2)","Fresh candidate with 10th+/ITI/Diploma/Degree seeking first employment",0.94,94.0,"30_days_before_deadline","2026-01-01","2026-06-01"
3,PMKVY (Pradhan Mantri Kaushal Vidyape Yojana),job_seekers,skill_development,Free skill development training with certification and placement support for youth,50000.0,training_and_placement,18,35,,1000000.0,0.0,Telangana,Hyderabad,any,any,10th_pass,6.0,,,,,"[""Aadhaar Card"", ""10th Certificate"", ""Bank Account"", ""Photo"", ""Mobile Number"", ""Ration Card""]","[""Learning Mindset"", ""Basic Communication"", ""Willingness to Work"", ""Adaptability""]","[""What is your qualification?"", ""What trade interest?"", ""Are you unemployed?"", ""What location prefer?""]","2026-12-31","annual","https://pmkvy.gov.in","Ministry of Skill Development, GOI","central_government",97,verified,2026-06-01,920000,"(unemployment*0.6) + (trade_match*0.4)","Unemployed 10th pass candidate interested in skill training",0.92,92.0,"30_days_before_deadline","2026-01-01","2026-06-01"
4,DDU-GKY (Deen Dayal Somayee Gyaan Yojana),job_seekers,skill_development,Skill training for rural youth from poor families with placement guarantee,45000.0,training_and_placement,18,35,,800000.0,0.0,Telangana,Rural,any,any,10th_pass,6.0,,,,,"[""Aadhaar Card"", ""Rural Domicile"", ""10th Certificate"", ""Income Certificate"", ""Bank Account"", ""Photo""]","[""Learning Ability"", ""Communication"", ""Work Ethics"", ""Physical Fitness""]","[""Are you from rural area?"", ""What is family income?"", ""What is qualification?"", ""What trade interest?""]","2026-11-30","annual","https://ddugky.gov.in","Ministry of Skill Development, GOI","central_government",96,verified,2026-06-01,580000,"(rural_status*0.5) + (income*0.3) + (qualification*0.2)","Rural youth from family income<800k with 10th pass",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
5,RSETI Programs (Rural Self Employment),job_seekers,entrepreneurship_training,Entrepreneurship development training for rural youth to start own business,75000.0,training_and_loan_support,18,45,,2000000.0,0.0,Telangana,Rural,any,any,intermediate,6.5,,,,,"[""Aadhaar Card"", ""Rural Domicile"", ""12th Certificate"", ""Income Certificate"", ""Bank Account"", ""Business Interest Proof""]","[""Business Mindset"", ""Communication"", ""Leadership"", ""Financial Literacy"", ""Planning""]","[""Are you from rural area?"", ""Do you want to start business?"", ""What business type?"", ""What is income?""]","2026-12-31","annual","https://rseti.gov.in","Ministry of Rural Development, GOI","central_government",94,verified,2026-06-01,245000,"(business_interest*0.6) + (rural_status*0.3) + (income*0.1)","Rural youth interested in entrepreneurship with income<2000k",0.87,87.0,"30_days_before_deadline","2026-01-01","2026-06-01"
6,NSDC JobX Portal Registration,job_seekers,job_matching,Free job matching portal for skilled youth with NSDC training certification,0.0,job_matching_service,18,40,,5000000.0,0.0,Telangana,Hyderabad,any,any,iti_or_diploma_or_degree,6.5,,,,,"[""Aadhaar Card"", ""NSDC Certificate"", ""Qualification Certificate"", ""Bank Account"", ""Photo"", ""Mobile Number"", ""Resume""]","[""Job Readiness"", ""Communication"", ""Technical Skills"", ""Interview Skills"", ""Computer Basics""]","[""Do you have NSDC certificate?"", ""What is qualification?"", ""What job type?"", ""What location prefer?""]","2026-12-31","ongoing","https://jobx.nsdcindia.org","NSDC, Ministry of Skill Development","central_government",93,verified,2026-06-01,385000,"(nsdc_cert*0.7) + (skill_level*0.3)","Candidate with NSDC certification seeking job matching",0.89,89.0,"15_days_before_deadline","2026-01-01","2026-06-01"
7,National Career Service Portal,job_seekers,job_matching,"One-stop career service portal for job search, career guidance, and skill development info",0.0,job_matching_and_counseling,16,60,,10000000.0,0.0,Telangana,,any,any,any,6.0,,,,,"[""Aadhaar Card"", ""Qualification Certificate"", ""Bank Account"", ""Photo"", ""Mobile Number"", ""Email""]","[""Job Search"", ""Communication"", ""Self_Presentation"", ""Internet Basics"", ""Documentation""]","[""What is qualification?"", ""What job type?"", ""Are you employed?"", ""What location?""]","2026-12-31","ongoing","https://ncs.gov.in","Ministry of Labour & Employment, GOI","central_government",95,verified,2026-06-01,1250000,"(job_seeking*0.6) + (qualification*0.4)","Any job seeker registered on NCS portal",0.91,91.0,"15_days_before_deadline","2026-01-01","2026-06-01"
8,Telangana State Employment Exchange,job_seekers,job_matching,State employment exchange for registering job seekers and finding government/private jobs,0.0,job_registration_and_matching,18,50,,8000000.0,0.0,Telangana,Hyderabad,any,any,any,6.0,,,,,"[""Aadhaar Card"", ""Qualification Certificate"", ""Bank Account"", ""Photo"", ""Mobile Number"", ""Address Proof"", ""Domicile""]","[""Job Search"", ""Communication"", ""Documentation"", ""Registration"", ""Follow-up""]","[""Are you Telangana resident?"", ""What is qualification?"", ""What job type?"", ""Are you registered already?""]","2026-12-31","annual","https://telangana.gov.in/employment-exchange","Government of Telangana","state_government",94,verified,2026-06-01,465000,"(telangana_resident*0.7) + (qualification*0.3)","Telangana resident job seeker registered on employment exchange",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
9,SSC GD Constable Recruitment,job_seekers,government_recruitment,General Duty Constable recruitment in paramilitary forces for 10th pass candidates,0.0,permanent_government_job,18,33,5_years_sc_st,10000000.0,0.0,Telangana,,any,any,10th_pass,6.0,,physical_test_required,,,,"[""Aadhaar Card"", ""10th Certificate"", ""Photo"", ""Mobile Number"", ""Physical Fitness Certificate"", ""Caste Certificate (if applicable)""]","[""Physical Fitness"", ""Strength"", ""Running"", ""Communication"", ""Discipline""]","[""What is qualification?"", ""Are you physically fit?"", ""Can you run 5km?"", ""What is age?""]","2026-08-31","annual","https://ssc.gov.in","Staff Selection Commission, GOI","central_government",96,verified,2026-06-01,285000,"(physical_fitness*0.6) + (qualification*0.3) + (age*0.1)","10th pass physically fit candidate aged 18-33",0.92,92.0,"15_days_before_deadline","2026-01-01","2026-06-01"
10,Railway Group D Recruitment,job_seekers,government_recruitment,"Railway Group D posts (Trackman, Helper, Technician) for 10th+ITI/Diploma candidates",0.0,permanent_government_job,18,33,5_years_sc_st,8000000.0,0.0,Telangana,,any,any,10th_plus_iti_or_diploma,6.5,,physical_test_required,,,,"[""Aadhaar Card"", ""10th Certificate"", ""ITI/Diploma Certificate"", ""Photo"", ""Mobile Number"", ""Physical Fitness Certificate""]","[""Technical Skills"", ""Physical Fitness"", ""Strength"", ""Mechanical Knowledge"", ""Safety Awareness""]","[""What is qualification?"", ""Do you have ITI/Diploma?"", ""Are you physically fit?"", ""What trade?""]","2026-09-30","annual","https://rrbcdg.gov.in","Railway Recruitment Board, GOI","central_government",97,verified,2026-06-01,345000,"(iti_diploma*0.6) + (physical_fitness*0.3) + (trade_match*0.1)","10th pass with ITI/Diploma and physical fitness",0.93,93.0,"15_days_before_deadline","2026-01-01","2026-06-01"
