id,title,module,opportunity_type,description,benefit_amount,benefit_type,min_age,max_age,age_relaxation,income_max,income_min,state,district,category,gender,qualification,cgpa_required,experience_required,business_stage,startup_registered,land_size_min,land_size_max,crop_type,land_required,land_owner_required,required_documents,required_skills,required_followup_questions,deadline,renewal_frequency,official_link,source_name,source_type,priority_score,verification_status,last_updated,application_count,readiness_score_formula,eligibility_explanation,similarity_score,profile_match_percentage,notification_trigger,created_at,updated_at
1,PMEGP (Prime Minister Employment Generation Program),entrepreneurs,grant,Subsidy for micro-enterprises in manufacturing/service sector up to Rs.35L,350000.0,subsidy,18,65,,1000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Business Plan"", ""Income Certificate"", ""Bank Account"", ""Project Report"", ""Address Proof""]","[""Business Management"", ""Financial Planning"", ""Marketing"", ""Banking Knowledge""]","[""What business type?"", ""What is total investment?"", ""Do you have experience?"", ""What is your location?"", ""Are you first time entrepreneur?""]","2026-12-31","once","https://pmegp.gov.in","Ministry of MSME, GOI","central_government",98,verified,2026-06-01,420000,"(investment*0.5) + (experience*0.3) + (category*0.2)","Entrepreneur with business plan, investment<=25L, experience>=1 year",0.94,94.0,"30_days_before_deadline","2026-01-01","2026-06-01"
2,MUDRA Yojana (Pradhan Mantri MUDRA),entrepreneurs,loan,Non-collar loan up to Rs.10 lakh for non-agricultural income generation,1000000.0,loan,18,65,,2000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,startup,False,False,"[""Aadhaar Card"", ""Business Plan"", ""Bank Account"", ""Project Report"", ""Credit Score"", ""Income Proof""]","[""Business Management"", ""Financial Literacy"", ""Marketing"", ""Communication""]","[""What business type?"", ""What loan amount needed?"", ""Do you have credit score?"", ""What is business location?""]","2026-12-31","once","https://mudra.gov.in","Ministry of MSME, GOI","central_government",97,verified,2026-06-01,580000,"(loan_needed*0.5) + (credit_score*0.3) + (business_plan*0.2)","Entrepreneur with business plan needing loan<=10L",0.93,93.0,"30_days_before_deadline","2026-01-01","2026-06-01"
3,CGTMSE (Credit Guarantee Fund),entrepreneurs,loan_guarantee,Collateral-free guarantee for MSME loans up to Rs.100 lakh,10000000.0,guarantee,18,65,,5000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,startup,False,False,"[""Aadhaar Card"", ""Business Registration"", ""Bank Account"", ""Project Report"", ""Financial Statements"", ""MSME Certificate""]","[""Business Management"", ""Financial Planning"", ""Compliance"", ""Documentation""]","[""What is business type?"", ""What is loan amount?"", ""Do you have financial statements?"", ""Is business registered?""]","2026-12-31","annual","https://cgtmse.gov.in","Ministry of MSME, GOI","central_government",95,verified,2026-06-01,285000,"(loan_amount*0.6) + (financials*0.3) + (business_age*0.1)","MSME with loan<=100L and financial statements",0.90,90.0,"30_days_before_deadline","2026-01-01","2026-06-01"
4,MSME Technology Upgradation Scheme,entrepreneurs,subsidy,Technology upgradation subsidy for existing MSMEs,500000.0,subsidy,18,65,,5000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,growth,True,False,"[""Aadhaar Card"", ""MSME Registration"", ""Bank Account"", ""Technology Quote"", ""Financial Statements"", ""GST Certificate""]","[""Technology Awareness"", ""Business Management"", ""Financial Planning"", ""Quality Control""]","[""Is business registered as MSME?"", ""What technology needed?"", ""What is investment?"", ""How old is business?""]","2026-11-30","once","https://msme.gov.in/technology","Ministry of MSME, GOI","central_government",92,verified,2026-06-01,145000,"(technology_investment*0.6) + (msme_registration*0.3) + (financials*0.1)","Registered MSME with technology upgradation plan",0.87,87.0,"30_days_before_deadline","2026-01-01","2026-06-01"
5,Telangana Industrial Investment Grant,entrepreneurs,grant,State grant for industrial development in Telangana,1000000.0,grant,18,65,,10000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,growth,True,False,"[""Aadhaar Card"", ""Company Registration"", ""Bank Account"", ""Project Report"", ""Land Documents"", ""GST Certificate""]","[""Business Management"", ""Industrial Knowledge"", ""Financial Planning"", ""Compliance""]","[""Is company registered?"", ""What industry type?"", ""What is investment?"", ""Do you have land?""]","2026-12-31","once","https://telangana.gov.in/industrial-grant","Government of Telangana","state_government",94,verified,2026-06-01,95000,"(investment*0.5) + (registration*0.3) + (land*0.2)","Registered company with investment>=50L and land",0.89,89.0,"30_days_before_deadline","2026-01-01","2026-06-01"
6,Startup India Seed Fund (for Entrepreneurs),entrepreneurs,seed_funding,Seed funding for entrepreneurs with innovative ideas,2000000.0,seed_funding,21,45,,5000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,ideation,True,False,"[""Aadhaar Card"", ""Startup Registration"", ""Business Plan"", ""Bank Account"", ""Pitch Deck"", ""Team Profile""]","[""Innovation"", ""Business Planning"", ""Presentation"", ""Technology Awareness""]","[""Is startup registered?"", ""What is innovative idea?"", ""What is team size?"", ""What is funding needed?""]","2026-12-31","once","https://startupindia.gov.in/seed","Startup India, GOI","central_government",96,verified,2026-06-01,185000,"(innovation*0.5) + (team*0.3) + (business_plan*0.2)","Entrepreneur with innovative idea and registered startup",0.91,91.0,"30_days_before_deadline","2026-01-01","2026-06-01"
7,ASPIRE (A Scheme for PRomotion of Innovation),entrepreneurs,incubation,Incubation support for rural entrepreneurs,300000.0,incubation,18,50,,3000000.0,0.0,Telangana,Rural,any,any,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Rural Domicile"", ""Business Plan"", ""Bank Account"", ""Address Proof""]","[""Innovation"", ""Rural Development"", ""Business Planning"", ""Community Engagement""]","[""Are you from rural area?"", ""What is business idea?"", ""Do you have business plan?""]","2026-10-31","annual","https://aspire.gov.in","Ministry of Agriculture, GOI","central_government",89,verified,2026-06-01,75000,"(rural_status*0.6) + (business_plan*0.4)","Rural entrepreneur with business plan",0.84,84.0,"30_days_before_deadline","2026-01-01","2026-06-01"
8,DCMP (District Commercial Mission),entrepreneurs,grant,Commercial development grant for districts,500000.0,grant,18,60,,8000000.0,0.0,Telangana,,any,any,any,,,,growth,False,False,"[""Aadhaar Card"", ""Business Registration"", ""Bank Account"", ""District Proof"", ""Project Report""]","[""Business Management"", ""Commercial Knowledge"", ""Financial Planning"", ""Marketing""]","[""What district?"", ""What business type?"", ""What is investment?""]","2026-12-31","once","https://telangana.gov.in/dcmp","Government of Telangana","state_government",87,verified,2026-06-01,62000,"(district_priority*0.5) + (investment*0.3) + (business_type*0.2)","Entrepreneur in priority district with investment>=30L",0.81,81.0,"30_days_before_deadline","2026-01-01","2026-06-01"
9,SIDBI Loan Scheme,entrepreneurs,loan,Small industries development bank loan for MSME,5000000.0,loan,18,65,,10000000.0,0.0,Telangana,Hyderabad,any,any,any,,,,startup,True,False,"[""Aadhaar Card"", ""MSME Registration"", ""Bank Account"", ""Financial Statements"", ""Project Report"", ""GST Certificate""]","[""Business Management"", ""Financial Planning"", ""Compliance"", ""Banking Knowledge""]","[""Is business MSME registered?"", ""What is loan amount?"", ""Do you have financials?"", ""How old is business?""]","2026-12-31","annual","https://sidbi.co.in","SIDBI, Ministry of MSME","central_government",90,verified,2026-06-01,125000,"(msme_registration*0.5) + (financials*0.3) + (business_age*0.2)","MSME with financial statements and business>=2 years",0.85,85.0,"30_days_before_deadline","2026-01-01","2026-06-01"
10,NABARD Agricultural Entrepreneur,entrepreneurs,loan,Loan for agricultural entrepreneurship ventures,3000000.0,loan,18,60,,5000000.0,0.0,Telangana,Rural,any,any,any,,,,ideation,False,False,"[""Aadhaar Card"", ""Land Records"", ""Bank Account"", ""Business Plan"", ""Address Proof""]","[""Agricultural Knowledge"", ""Business Planning"", ""Financial Literacy"", ""Rural Development""]","[""Do you have agricultural land?"", ""What is business plan?"", ""What loan amount?""]","2026-11-30","annual","https://nabard.gov.in","NABARD, Ministry of Finance","central_government",86,verified,2026-06-01,95000,"(land_ownership*0.6) + (business_plan*0.4)","Entrepreneur with agricultural land and business plan",0.80,80.0,"30_days_before_deadline","2026-01-01","2026-06-01"
